index,no_urut,masuk
71,319,TIDAK
72,320,LOLOS
73,321,LOLOS
74,322,LOLOS
75,323,LOLOS
76,324,TIDAK
77,325,LOLOS
78,326,TIDAK
79,327,LOLOS
80,328,TIDAK
0,329,LOLOS
1,330,LOLOS
2,331,TIDAK
3,332,LOLOS
4,333,TIDAK
5,334,LOLOS
6,335,LOLOS
7,336,TIDAK
8,337,TIDAK
9,338,LOLOS
10,339,LOLOS
11,340,TIDAK
12,341,TIDAK
13,342,TIDAK
14,343,TIDAK
15,344,LOLOS
16,345,TIDAK
17,346,LOLOS
18,347,LOLOS
19,348,TIDAK
20,349,TIDAK
21,350,LOLOS
